UserID;FullName;Login;PasswordHash;RoleID
1;Никифорова Анна Семеновна;94d5ous@gmail.com;uzWC67;1
2;Стелина Евгения Петровна;uth4iz@mail.com;2L6KZG;1
3;Михайлюк Анна Вячеславовна;5d4zbu@tutanota.com;rwVDh9;1
4;Ситдикова Елена Анатольевна;ptec8ym@yahoo.com;LdNyos;2
5;Ворсин Петр Евгеньевич;1qz4kw@mail.com;gynQMT;2
6;Старикова Елена Павловна;4np6se@mail.com;AtnDjr;2
7;Никифорова Весения Николаевна;yzls62@outlook.com;JlFRCZ;3
8;Сазонов Руслан Германович;1diph5e@tutanota.com;8ntwUp;3
9;Одинцов Серафим Артёмович;tjde7c@yahoo.com;YOyhfR;3
10;Степанов Михаил Артёмович;wpmrc3do@tutanota.com;RSbvHv;3
